Indicator 3 Positive,"Total marine protected areas as share of exclusive economic zone, %",,Share of Subsidies to SSF,,"Marine protected area designated with IUCN management objectives I-III which generally preclude commercial fishing and other extractive industries, as share of exclusive economic zone, %",,Growth rate MPAs,,Bonus points,,Indicator 3 Negative,Overfishing Index,,Fuel subsidies,,Thrawling,,,Indicator 2,Total commitment score,Indicator 1,Total vulnerability score,,Indicator 3,Total policies and action score
,,Papua New Guinea,1,,,,,Jersey,0,,Japan,1,Nauru,0,Nauru,1,,,Monaco,0,SEYCHELLES,-0.25,110,Guinea,-0.25
,,Samoa,1,,,,,Jordan,0,,Jersey,0,New Zealand,-3,Nepal,0,,,Mongolia,0,SIERRA LEONE,-1,240,Guinea-Bissau,0.25
,,Solomon Is,1,,,,,Kazakhstan,0,,Jordan,0,Palau,0,Netherlands,-3,,,Montenegro,0,SINGAPORE,0,189,Guyana,0.75
,,Tonga,1,,,,,Kenya,0,,Kazakhstan,1,Papua New Guinea,0,New Zealand,-3,,,Morocco,3,SLOVENIA,0,190,Haiti,0
,,Tuvalu,1,,,,,Kiribati,0,,Kenya,-1,Samoa,-3,Nicaragua,0,,,Mozambique,0,SOLOMON ISLANDS,0,241,Heard and McDonald Islands,1.666666667
,,Vanuatu,1,,,,,Kuwait,-0.1,,Kiribati,0,Solomon Is,-3,Niger,0,,,Myanmar,2,SOMALIA,-1.5,61,Heard Island and McDonald Islands,0
,,Antigua Barb,3,,,,,Kyrgyzstan,0,,Kuwait,0,Tonga,-3,Nigeria,-3,,,Namibia,1,SOUTH AFRICA,-1,242,Holy See,0
,,Argentina,1,,,,,Lao People's Democratic Republic,0,,Kyrgyzstan,0,Tuvalu,0,North Korea,1,,,Nauru,0,SPAIN,0,191,Honduras,0.5
,,Barbados,2,,,,,Latvia,0.2,,Lao People's Democratic Republic,0,Vanuatu,-3,Northern Cyprus,1,,,Pakistan,0,SRI LANKA,-1,136,Hong Kong,-1.5
,,Belize,2,,,,,Lebanon,0,,Latvia,2,Antigua Barb,0,Northern Mariana Islands,0,,,Nepal,0,ST. KITTS AND NEVIS,0.142857143,243,Hungary,0.285714286
,,Brazil,2,,,,,Lesotho,0,,Lebanon,-1,Argentina,-3,Norway,-3,,,Netherlands,0,ST. LUCIA,-1,12,Iceland,-0.142857143
,,Chile,2,,,,,Liberia,0,,Lesotho,0,Bahamas,0,Oman,0,,,New Zealand,0,ST. VINCENT AND THE GRENADINES,0,62,India,-0.285714286
,,Colombia,2,,,,,Libya,0,,Liberia,0,Barbados,-3,Pakistan,1,,,Saint Kitts and Nevis,2,SUDAN,-1,63,Indonesia,0.25
,,Costa Rica,2,,,,,Liechtenstein,0,,Libya,0,Belize,0,Palau,0,,,Saint Lucia,2,SURINAME,0,244,Iran (Islamic Republic of),0.25
,,Cuba,3,,,,,Lithuania,0.2,,Liechtenstein,0,Brazil,-3,Panama,0,,,Samoa,0,SWEDEN,-1,138,Iraq,-0.285714286
,,Dominica,1,,,,,Luxembourg,0.2,,Lithuania,0,Chile,0,Papua New Guinea,0,,,San Marino,0,SYRIAN ARAB REPUBLIC,0,13,Ireland,0
,,Dominican Rp,3,,,,,Madagascar,0,,Luxembourg,0,Colombia,0,Paraguay,0,,,São Tomé and Príncipe,2,TANZANIA,0,245,Isle of Man,0.428571429
,,Ecuador,1,,,,,Malawi,0,,Madagascar,0,Costa Rica,-3,Peru,1,,,Saudi Arabia,2,THAILAND,-1,14,Israel,-0.285714286
,,El Salvador,2,,,,,Malaysia,0.1,,Malawi,0,Cuba,0,Philippines,0,,,Senegal,1,TIMOR-LESTE,0,15,Italy,0
,,Grenada,3,,,,,Maldives,0,,Malaysia,-1,Dominica,-3,Poland,-3,,,Serbia,0,TOGO,-1,192,Jamaica,0
